__IATA__	__ICAO__	__airport name__	__place name__
LCK	KLCK	Rickenbacker International Airport	Columbus, Ohio, United States
LCQ	KLCQ	Lake City Municipal Airport (Florida)|Lake City Municipal Airport	Lake City, Florida, United States
LDJ	KLDJ	Linden Airport	Linden, New Jersey, United States
LDM	KLDM	Mason County Airport (Michigan)|Mason County Airport	Ludington, Michigan, United States
LEB	KLEB	Lebanon Municipal Airport (New Hampshire)|Lebanon Municipal Airport	Lebanon, New Hampshire, United States
LEE	KLEE	Leesburg International Airport	Leesburg, Florida, United States
LEM	KLEM	Lemmon Municipal Airport	Lemmon, South Dakota, United States
LEW	KLEW	Auburn/Lewiston Municipal Airport	Auburn, Maine|Auburn/Lewiston, Maine, United States
LEX	KLEX	Blue Grass Airport	Lexington, Kentucky, United States
LFI	KLFI	Langley Air Force Base	Hampton, Virginia, United States
LFK	KLFK	Angelina County Airport	Lufkin, Texas, United States
LFN	KLHZ	Triangle North Executive Airport (Franklin County Airport) (FAA: LHZ)	Louisburg, North Carolina, United States
LFT	KLFT	Lafayette Regional Airport	Lafayette, Louisiana, United States
LGA	KLGA	LaGuardia Airport	New York City, New York, United States
LGB	KLGB	Long Beach Airport	Long Beach, California, United States
LGC	KLGC	LaGrange-Callaway Airport	LaGrange, Georgia, United States
LGD	KLGD	La Grande/Union County Airport	La Grande, Oregon, United States
LGF	KLGF	Laguna Army Airfield	Yuma Proving Ground, Arizona, United States
LGU	KLGU	Logan-Cache Airport	Logan, Utah, United States
LHV	KLHV	William T. Piper Memorial Airport	Lock Haven, Pennsylvania, United States
LIC	KLIC	Limon Municipal Airport	Limon, Colorado, United States
LIH	PHLI	Lihue Airport	Lihue, Hawaii, United States
LIT	KLIT	Little Rock National Airport (Adams Field)	Little Rock, Arkansas, United States
LIV		Livengood Camp Airport (FAA: 4AK)	Livengood, Alaska, United States
LIY	KLHW	MidCoast Regional Airport at Wright Army Airfield (FAA: LHW)	Fort Stewart, Hinesville, Georgia, United States
LIZ		Loring International Airport (was Loring AFB) (FAA: ME16)	Limestone, Maine, United States
LJN	KLBX	Brazoria County Airport (FAA: LBX)	Angleton, Texas|Angleton / Lake Jackson, Texas, United States
LKE		Kenmore Air Harbor Seaplane Base (FAA: W55)	Seattle, Washington, United States
LKK	PAKL	Kulik Lake Airport	Kulik Lake, Bristol Bay Borough, Alaska, United States
LKP	KLKP	Lake Placid Airport	Lake Placid, New York, United States
LKV	KLKV	Lake County Airport (Oregon)|Lake County Airport	Lakeview, Oregon, United States
LLX	KCDA	Caledonia County Airport (FAA: CDA)	Lyndonville, Vermont, United States
LLY	KVAY	South Jersey Regional Airport (FAA: VAY)	Mount Holly, New Jersey, United States
LMA		Lake Minchumina Airport (FAA: MHM)	Lake Minchumina, Alaska, United States
LMS	KLMS	Louisville Winston County Airport	Louisville, Mississippi, United States
LMT	KLMT	Klamath Falls Airport	Klamath Falls, Oregon, United States
LNA	KLNA	Palm Beach County Park Airport	West Palm Beach, Florida, United States
LND	KLND	Hunt Field	Lander, Wyoming, United States
LNI	PALN	Lonely Air Station (FAA: AK71)	Lonely, Alaska|Lonely, North Slope Borough, Alaska, United States
LNK	KLNK	Lincoln Airport (Nebraska)|Lincoln Airport	Lincoln, Nebraska, United States
LNN	KLNN	Willoughby Lost Nation Municipal Airport	Willoughby, Ohio, United States
LNP	KLNP	Lonesome Pine Airport	Wise, Virginia, United States
LNR	KLNR	Tri-County Regional Airport	Lone Rock, Wisconsin, United States
LNS	KLNS	Lancaster Airport (Pennsylvania)|Lancaster Airport	Lancaster, Pennsylvania, United States
LNY	PHNY	Lanai Airport	Lanai City, Hawaii, United States
LOL	KLOL	Derby Field	Lovelock, Nevada, United States
LOR	KLOR	Lowe Army Heliport (Fort Rucker)	Fort Rucker / Ozark, Alabama, United States
LOT	KLOT	Lewis University Airport	Chicago / Romeoville, Illinois, United States
LOU	KLOU	Bowman Field (airport)|Bowman Field	Louisville, Kentucky, United States
LOW	KLKU	Louisa County Airport (Freeman Field) (FAA: LKU)	Louisa, Virginia, United States
LOZ	KLOZ	London-Corbin Airport (Magee Field)	London, Kentucky, United States
LPC	KLPC	Lompoc Airport	Lompoc, California, United States
LPO	KPPO	La Porte Municipal Airport (Indiana)|La Porte Municipal Airport (FAA: PPO)	La Porte, Indiana, United States
LPR	KLPR	Lorain County Regional Airport	Lorain, Ohio|Lorain / Elyria, Ohio, United States
LPS		Fishermans Bay/LPS Seaplane Base	Lopez Island, Washington (U.S. state)|Washington, United States
LQK	KLQK	Pickens County Airport (South Carolina)|Pickens County Airport	Pickens, South Carolina, United States
LQR	KLQR	Larned-Pawnee County Airport	Larned, Kansas, United States
LRD	KLRD	Laredo International Airport	Laredo, Texas, United States
LRF	KLRF	Little Rock Air Force Base	Jacksonville, Arkansas, United States
LRJ	KLRJ	Le Mars Municipal Airport	Le Mars, Iowa, United States
LRU	KLRU	Las Cruces International Airport	Las Cruces, New Mexico, United States
LSB	KLSB	Lordsburg Municipal Airport	Lordsburg, New Mexico, United States
LSE	KLSE	La Crosse Municipal Airport	La Crosse, Wisconsin, United States
LSF	KLSF	Lawson Army Airfield	Fort Benning, Columbus, Georgia, United States
LSK	KLSK	Lusk Municipal Airport	Lusk, Wyoming, United States
LSN	KLSN	Los Banos Municipal Airport	Los Banos, California, United States
LSR		Lost River 1 Airport (closed 2009)	Lost River, Alaska|Lost River, Alaska, United States
LSV	KLSV	Nellis Air Force Base	Las Vegas, Nevada, United States
LTS	KLTS	Altus Air Force Base	Altus, Oklahoma, United States
LTW		St. Mary's County Regional Airport (FAA: 2W6)	Leonardtown, Maryland, United States
LUF	KLUF	Luke Air Force Base	Glendale, Arizona, United States
LUK	KLUK	Cincinnati Municipal Airport (Lunken Field)	Cincinnati, Ohio, United States
LUL	KLUL	Hesler-Noble Field	Laurel, Mississippi, United States
LUP	PHLU	Kalaupapa Airport	Kalaupapa, Hawaii, United States
LUR	PALU	Cape Lisburne LRRS Airport	Cape Lisburne, Alaska, United States
LVD		Lime Village Airport (FAA: 2AK)	Lime Village, Alaska, United States
LVK	KLVK	Livermore Municipal Airport	Livermore, California, United States
LVL	KLVL	Lawrenceville/Brunswick Municipal Airport	Lawrenceville, Virginia, United States
LVM	KLVM	Mission Field	Livingston, Montana, United States
LVS	KLVS	Las Vegas Municipal Airport	Las Vegas, New Mexico, United States
LWB	KLWB	Greenbrier Valley Airport	Lewisburg, West Virginia, United States
LWC	KLWC	Lawrence Municipal Airport (Kansas)|Lawrence Municipal Airport	Lawrence, Kansas, United States
LWL	KLWL	Wells Municipal Airport (Nevada)|Wells Municipal Airport (Harriet Field)	Wells, Nevada, United States
LWM	KLWM	Lawrence Municipal Airport (Massachusetts)|Lawrence Municipal Airport	Lawrence, Massachusetts, United States
LWS	KLWS	Lewiston-Nez Perce County Airport	Lewiston, Idaho, United States
LWT	KLWT	Lewistown Municipal Airport	Lewistown, Montana, United States
LWV	KLWV	Lawrenceville-Vincennes International Airport	Lawrenceville, Illinois, United States
LXN	KLXN	Jim Kelly Field	Lexington, Nebraska, United States
LXV	KLXV	Lake County Airport (Colorado)|Lake County Airport	Leadville, Colorado, United States
LYH	KLYH	Lynchburg Regional Airport (Preston Glenn Field)	Lynchburg, Virginia, United States
LYO	KLYO	Lyons-Rice County Municipal Airport	Lyons, Kansas, United States
LYU	KELO	Ely Municipal Airport (FAA: ELO)	Ely, Minnesota, United States
MAC	KMAC	Macon Downtown Airport	Macon, Georgia, United States
MAE	KMAE	Madera Municipal Airport	Madera, California, United States
MAF	KMAF	Midland International Airport	Midland, Texas, United States
MAL	KMAL	Malone-Dufort Airport	Malone (town), New York|Malone, New York, United States
MAW	KMAW	Malden Municipal Airport	Malden, Missouri, United States
MBG	KMBG	Mobridge Municipal Airport	Mobridge, South Dakota, United States
MBL	KMBL	Manistee County-Blacker Airport	Manistee, Michigan, United States
MBS	KMBS	MBS International Airport	Midland, Michigan|Midland/Bay City, Michigan|Bay City/Saginaw, Michigan, United States
MBY	KMBY	Omar N. Bradley Airport	Moberly, Missouri, United States
MCB	KMCB	McComb-Pike County Airport (John E. Lewis Field)	McComb, Mississippi, United States
MCC	KMCC	McClellan Airfield	Sacramento, California, United States
MCD	KMCD	Mackinac Island Airport	Mackinac Island, Michigan, United States
MCE	KMCE	Merced Municipal Airport (Macready Field)	Merced, California, United States
MCF	KMCF	MacDill Air Force Base	Tampa, Florida, United States
MCG	PAMC	McGrath Airport	McGrath, Alaska, United States
MCI	KMCI	Kansas City International Airport	Kansas City, Missouri, United States
MCK	KMCK	McCook Regional Airport	McCook, Nebraska, United States
MCN	KMCN	Middle Georgia Regional Airport	Macon, Georgia, United States
MCO	KMCO	Orlando International Airport	Orlando, Florida, United States
MCW	KMCW	Mason City Municipal Airport	Mason City, Iowa, United States
MDD	KMDD	Midland Airpark	Midland, Texas, United States
MDF	KMDZ	Taylor County Airport	Medford, Wisconsin, United States
MDH	KMDH	Southern Illinois Airport	Carbondale, Illinois|Carbondale/Murphysboro, Illinois, United States
MDJ		Madras City-County Airport	Madras, Oregon, United States
MDN	KIMS	Madison Municipal Airport (Indiana)|Madison Municipal Airport	Madison, Indiana, United States
MDO	PAMD	Middleton Island Airport	Middleton Island, Alaska, United States
MDT	KMDT	Harrisburg International Airport	Harrisburg, Pennsylvania, United States
MDW	KMDW	Midway International Airport	Chicago, Illinois, United States
MDY	PMDY	Henderson Field (Midway Atoll)|Henderson Field	Sand Island (Midway Atoll)|Sand Island, Midway Atoll, United States
MEB	KMEB	Laurinburg-Maxton Airport	Maxton, North Carolina, United States
MEI	KMEI	Key Field	Meridian, Mississippi, United States
MEJ	KMEJ	Meade Municipal Airport	Meade, Kansas, United States
MEM	KMEM	Memphis International Airport	Memphis, Tennessee, United States
MEO	KMQI	Dare County Regional Airport	Manteo, North Carolina, United States
MER	KMER	Castle Airport	Atwater, California, United States
MEV	KMEV	Minden-Tahoe Airport	Minden, Nevada, United States
MEZ	KMEZ	Mena Intermountain Municipal Airport	Mena, Arkansas, United States
MFD	KMFD	Mansfield Lahm Regional Airport	Mansfield, Ohio, United States
MFE	KMFE	McAllen-Miller International Airport	McAllen, Texas, United States
MFI	KMFI	Marshfield Municipal Airport (Wisconsin)|Marshfield Municipal Airport	Marshfield, Wisconsin, United States
MFR	KMFR	Rogue Valley International-Medford Airport	Medford, Oregon, United States
MFV	KMFV	Accomack County Airport	Melfa, Virginia, United States
MGC	KMGC	Michigan City Municipal Airport	Michigan City, Indiana, United States
MGE	KMGE	Dobbins Air Reserve Base (Atlanta NAS)	Marietta, Georgia, United States
MGJ	KMGJ	Orange County Airport (New York)|Orange County Airport	Montgomery (town), New York|Montgomery, New York, United States
MGM	KMGM	Montgomery Regional Airport (Dannelly Field)	Montgomery, Alabama, United States
MGN	KMGN	Harbor Springs Airport	Harbor Springs, Michigan, United States
MGR	KMGR	Moultrie Municipal Airport	Moultrie, Georgia, United States
MGW	KMGW	Morgantown Municipal Airport (Walter L. Bill Hart Field)	Morgantown, West Virginia, United States
MGY	KMGY	Dayton-Wright Brothers Airport	Dayton, Ohio, United States
MHE	KMHE	Mitchell Municipal Airport	Mitchell, South Dakota, United States
MHK	KMHK	Manhattan Regional Airport	Manhattan, Kansas, United States
MHL	KMHL	Marshall Memorial Municipal Airport	Marshall, Missouri, United States
MHM	PAMH	Minchumina Airport	Minchumina, Alaska, United States
MHN	KMHN	Hooker County Airport	Mullen, Nebraska, United States
MHR	KMHR	Sacramento Mather Airport	Sacramento, California, United States
MHT	KMHT	Manchester-Boston Regional Airport	Manchester, New Hampshire, United States
MHV	KMHV	Mojave Airport	Mojave, California, United States
MIA	KMIA	Miami International Airport	Miami, Florida, United States
MIB	KMIB	Minot Air Force Base	Minot, North Dakota, United States
MIC	KMIC	Crystal Airport (Minnesota)|Crystal Airport	Minneapolis, Minnesota, United States
MIE	KMIE	Delaware County Airport (Johnson Field)	Muncie, Indiana, United States
MIO	KMIO	Miami Municipal Airport	Miami, Oklahoma, United States
MIQ	KMLE	Millard Airport (Nebraska)|Millard Airport (FAA: MLE)	Omaha, Nebraska, United States
MIT	KMIT	Shafter Airport	Shafter, California, United States
MIV	KMIV	Millville Municipal Airport	Millville, New Jersey, United States
MIW	KMIW	Marshalltown Municipal Airport	Marshalltown, Iowa, United States
MJD	KMJD	Picayune Municipal Airport	Picayune, Mississippi, United States
MJQ	KMJQ	Jackson Municipal Airport (Minnesota)|Jackson Municipal Airport	Jackson, Minnesota, United States
MJX	KMJX	Robert J. Miller Air Park	Toms River, New Jersey, United States
MKC	KMKC	Kansas City Downtown Airport (Charles B. Wheeler Downtown Airport)	Kansas City, Missouri, United States
MKE	KMKE	General Mitchell International Airport	Milwaukee, Wisconsin, United States
MKG	KMKG	Muskegon County Airport	Muskegon, Michigan, United States
MKJ	KMKJ	Mountain Empire Airport	Marion, Virginia|Marion/Wytheville, Virginia, United States
MKK	PHMK	Molokai Airport	Kaunakakai, Hawaii, United States
MKL	KMKL	McKellar-Sipes Regional Airport	Jackson, Tennessee, United States
MKN	KMKN	Comanche County-City Airport	Comanche, Texas, United States
MKO	KMKO	Davis Field (Oklahoma)|Davis Field	Muskogee, Oklahoma, United States
MKT	KMKT	Mankato Regional Airport	Mankato, Minnesota, United States
MKV	KMKV	Marksville Municipal Airport	Marksville, Louisiana, United States
MLB	KMLB	Melbourne International Airport	Melbourne, Florida, United States
MLC	KMLC	McAlester Regional Airport	McAlester, Oklahoma, United States
MLD	KMLD	Malad City Airport	Malad City, Idaho, United States
MLF	KMLF	Milford Municipal Airport (Ben and Judy Briscoe Field)	Milford, Utah, United States
MLI	KMLI	Quad City International Airport	Moline, Illinois, United States
MLJ	KMLJ	Baldwin County Airport	Milledgeville, Georgia, United States
MLL	PADM	Marshall Don Hunter Sr. Airport (FAA: MDM)	Marshall, Alaska, United States
MLS	KMLS	Miles City Municipal Airport (Frank Wiley Field)	Miles City, Montana, United States
MLT	KMLT	Millinocket Municipal Airport	Millinocket, Maine, United States
MLU	KMLU	Monroe Regional Airport (Louisiana)|Monroe Regional Airport	Monroe, Louisiana, United States
MLY	PAML	Manley Hot Springs Airport	Manley Hot Springs, Alaska, United States
MMH	KMMH	Mammoth Yosemite Airport	Mammoth Lakes, California, United States
MMI	KMMI	McMinn County Airport	Athens, Tennessee, United States
MMS	KMMS	Selfs Airport	Marks, Mississippi, United States
MMT	KMMT	McEntire Air National Guard Station	Eastover, South Carolina, United States
MMU	KMMU	Morristown Municipal Airport	Morristown, New Jersey, United States
MMV	KMMV	McMinnville Municipal Airport	McMinnville, Oregon, United States
MNF	KMNF	Mountain View Airport (Missouri)|Mountain View Airport	Mountain View, Missouri, United States
MNM	KMNM	Menominee-Marinette Twin County Airport	Menominee, Michigan, United States
MNN	KMNN	Marion Municipal Airport	Marion, Ohio, United States
MNZ	KHEF	Manassas Regional Airport	Manassas, Virginia, United States
MOB	KMOB	Mobile Regional Airport	Mobile, Alabama, United States
MOD	KMOD	Modesto City-County Airport (Harry Sham Field)	Modesto, California, United States
MOP	KMOP	Mount Pleasant Municipal Airport (Michigan)|Mount Pleasant Municipal Airport	Mount Pleasant, Michigan, United States
MOR	KMOR	Moore-Murrell Airport	Morristown, Tennessee, United States
MOT	KMOT	Minot International Airport	Minot, North Dakota, United States
MOU	PAMO	Mountain Village Airport	Mountain Village, Alaska, United States
MOX	KMOX	Morris Municipal Airport	Morris, Minnesota, United States
MPB		Miami Seaplane Base	Watson Island, Miami-Dade County, Florida, United States
MPI	KMPI	Mariposa-Yosemite Airport	Mariposa, California, United States
MPJ	KMPJ	Petit Jean Park Airport	Morrilton, Arkansas, United States
MPO	KMPO	Pocono Mountains Municipal Airport	Mount Pocono, Pennsylvania, United States
MPR	KMPR	McPherson Airport	McPherson, Kansas, United States
MPV	KMPV	Edward F. Knapp State Airport	Barre (city), Vermont|Barre/Montpelier, Vermont, United States
MPZ	KMPZ	Mount Pleasant Municipal Airport (Iowa)|Mount Pleasant Municipal Airport	Mount Pleasant, Iowa, United States
MQB	KMQB	Macomb Municipal Airport	Macomb, Illinois, United States
MQJ	KMQJ	Mount Comfort Airport	Indianapolis, Indiana, United States
MQT	KSAW	Sawyer International Airport	Marquette, Michigan, United States
MQW	KMQW	Telfair-Wheeler Airport	McRae, Georgia, United States
MQY	KMQY	Smyrna Airport (Tennessee)|Smyrna Airport	Smyrna, Tennessee, United States
MRB	KMRB	Eastern WV Regional Airport (Shepherd Field)	Martinsburg, West Virginia, United States
MRC	KMRC	Maury County Airport	Columbia, Tennessee|Columbia/Mount Pleasant, Tennessee, United States
MRF	KMRF	Marfa Municipal Airport	Marfa, Texas, United States
MRH	KMRH	Michael J. Smith Field	Beaufort, North Carolina, United States
MRI	PAMR	Merrill Field	Anchorage, Alaska, United States
MRJ	KMRJ	Iowa County Airport	Mineral Point, Wisconsin, United States
MRK	KMKY	Marco Island Airport	Marco Island, Florida, United States
MRN	KMRN	Morganton-Lenoir Airport	Morganton, North Carolina, United States
MRY	KMRY	Monterey Peninsula Airport	Monterey, California, United States
MSL	KMSL	Northwest Alabama Regional Airport	Muscle Shoals, Alabama, United States
MSN	KMSN	Dane County Regional Airport (Truax Field)	Madison, Wisconsin, United States
MSO	KMSO	Missoula International Airport	Missoula, Montana, United States
MSP	KMSP	Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)	Bloomington, Minnesota, United States
MSS	KMSS	Massena International Airport (Richards Field)	Massena (town), New York|Massena, New York, United States
MSV	KMSV	Sullivan County International Airport	Monticello, New York, United States
MSY	KMSY	Louis Armstrong New Orleans International Airport (formerly Moisant Field)	New Orleans, Louisiana, United States
MTC	KMTC	Selfridge Air National Guard Base	Mount Clemens, Michigan, United States
MTH	KMTH	Florida Keys Marathon Airport	Marathon, Florida, United States
MTJ	KMTJ	Montrose Regional Airport	Montrose, Colorado, United States
MTM	PAMM	Metlakatla Seaplane Base	Metlakatla, Alaska|Metlakatla, Annette Island, Alaska, United States
MTN	KMTN	Martin State Airport	Baltimore, Maryland, United States
MTO	KMTO	Coles County Memorial Airport	Mattoon, Illinois|Mattoon/Charleston, Illinois, United States
MTP	KMTP	Montauk Airport	Montauk, New York, United States
MTW	KMTW	Manitowoc County Airport	Manitowoc, Wisconsin, United States
MTX		Metro Field (FAA: MTF)	Fairbanks, Alaska, United States
MUE	PHMU	Waimea-Kohala Airport	Kamuela, Hawaii, United States
MUI	KMUI	Muir Army Airfield	Fort Indiantown Gap, Pennsylvania, United States
MUL	KMUL	Spence Airport	Moultrie, Georgia, United States
MUO	KMUO	Mountain Home Air Force Base	Mountain Home, Idaho, United States
MUT	KMUT	Muscatine Municipal Airport	Muscatine, Iowa, United States
MVC	KMVC	Monroe County Airport (Alabama)|Monroe County Airport	Monroeville, Alabama, United States
MVE	KMVE	Montevideo-Chippewa County Airport	Montevideo, Minnesota, United States
MVL	KMVL	Morrisville-Stowe State Airport	Morrisville, Vermont, United States
MVM	KMVM	Machias Valley Airport	Machias, Maine, United States
MVN	KMVN	Mount Vernon Airport	Mount Vernon, Illinois, United States
MVY	KMVY	Martha's Vineyard Airport	Vineyard Haven, Massachusetts, United States
MWA	KMWA	Williamson County Regional Airport	Marion, Illinois, United States
MWC	KMWC	Lawrence J. Timmerman Airport	Milwaukee, Wisconsin, United States
MWH	KMWH	Grant County International Airport	Moses Lake, Washington, United States
MWL	KMWL	Mineral Wells Airport	Mineral Wells, Texas, United States
MWM	KMWM	Windom Municipal Airport	Windom, Minnesota, United States
MWO	KMWO	Hook Field Municipal Airport	Middletown, Ohio, United States
MXA	KMXA	Manila Municipal Airport	Manila, Arkansas, United States
MXE	KMEB	Laurinburg-Maxton Airport	Maxton, North Carolina, United States
MXF	KMXF	Maxwell Air Force Base	Montgomery, Alabama, United States
MXO	KMXO	Monticello Regional Airport	Monticello, Iowa, United States
MYF	KMYF	Montgomery Field	San Diego, California, United States
MYK		May Creek Airport	May Creek, Alaska|May Creek, Alaska, United States
MYL	KMYL	McCall Municipal Airport	McCall, Idaho, United States
MYR	KMYR	Myrtle Beach International Airport	Myrtle Beach, South Carolina, United States
MYU	PAMY	Mekoryuk Airport	Mekoryuk, Alaska, United States
MYV	KMYV	Yuba County Airport	Marysville, California, United States
MYZ	KMYZ	Marysville Municipal Airport	Marysville, Kansas, United States
MZJ	KMZJ	Pinal Airpark	Marana, Arizona, United States
MZZ	KMZZ	Marion Municipal Airport	Marion, Indiana, United States
NAX	PHJR	Kalaeloa Airport (NAS Barbers Point) (John Rodgers Field) (FAA: JRF)	Kapolei, Hawaii, United States
NBG	KNBG	Naval Air Station Joint Reserve Base New Orleans|NAS JRB New Orleans (Alvin Callender Field)	New Orleans, Louisiana, United States
NCN	PFCB	Chenega Bay Airport (FAA: C05)	Chenega, Alaska, United States
NEL	KNEL	Naval Air Engineering Station Lakehurst|NAES Lakehurst (Maxfield Field)	Lakehurst, New Jersey, United States
NEN	KNEN	Naval Outlying Field Whitehouse|NOLF Whitehouse	Jacksonville, Florida, United States
NEW	KNEW	New Orleans Lakefront Airport	New Orleans, Louisiana, United States
NFL	KNFL	Naval Air Station Fallon|NAS Fallon (Van Voorhis Field)	Fallon, Nevada, United States
NGP	KNGP	Naval Air Station Corpus Christi|NAS Corpus Christi (Truax Field)	Corpus Christi, Texas, United States
NGU	KNGU	Naval Station Norfolk|NS Norfolk (Chambers Field)	Norfolk, Virginia, United States
NGW	KNGW	Naval Outlying Field Cabaniss|NOLF Cabaniss	Corpus Christi, Texas, United States
NHK	KNHK	Naval Air Station Patuxent River|NAS Patuxent River (Trapnell Field)	Patuxent River, Maryland, United States
NHX	KNBJ	Naval Outlying Field Barin|NOLF Barin (FAA: NBJ)	Foley, Alabama, United States
NHZ	KNHZ	Naval Air Station Brunswick|NAS Brunswick	Brunswick, Maine, United States
NIB	PAFS	Nikolai Airport (FAA: FSP)	Nikolai, Alaska, United States
NIN		Ninilchik Airport	Ninilchik, Alaska, United States
NIP	KNIP	Naval Air Station Jacksonville|NAS Jacksonville (Towers Field)	Jacksonville, Florida, United States
NJK	KNJK	Naval Air Facility El Centro|NAF El Centro	El Centro, California, United States
NKT	KNKT	Marine Corps Air Station Cherry Point|MCAS Cherry Point (Cunningham Field)	Cherry Point, North Carolina, United States
NKX	KNKX	Marine Corps Air Station Miramar|MCAS Miramar	San Diego, California, United States
NLC	KNLC	Naval Air Station Lemoore|NAS Lemoore (Reeves Field)	Lemoore, California, United States
NLE		Jerry Tyler Memorial Airport (FAA: 3TR)	Niles, Michigan, United States
NLG	PAOU	Nelson Lagoon Airport (FAA: OUL)	Nelson Lagoon, Alaska, United States
NME	PAGT	Nightmute Airport (FAA: IGT)	Nightmute, Alaska, United States
NNK		Naknek Airport (FAA: 5NK)	Naknek, Alaska, United States
NNL	PANO	Nondalton Airport (FAA: 5NN)	Nondalton, Alaska, United States
NOT	KDVO	Gnoss Field (FAA: DVO)	Novato, California, United States
NOW	KNOW	Coast Guard Air Station Port Angeles|CGAS Port Angeles	Port Angeles, Washington, United States
NPA	KNPA	Naval Air Station Pensacola|NAS Pensacola (Forrest Sherman Field)	Pensacola, Florida, United States
NPH		Nephi Municipal Airport (FAA: U14)	Nephi, Utah, United States
NPT	KUUU	Newport State Airport (Rhode Island)|Newport State Airport (FAA: UUU)	Newport, Rhode Island, United States
NQA	KNQA	Millington Regional Jetport	Millington, Tennessee, United States
NQI	KNQI	Naval Air Station Kingsville|NAS Kingsville	Kingsville, Texas, United States
NQX	KNQX	Naval Air Station Key West|NAS Key West (Boca Chica Field)	Boca Chica Key, Florida, United States
NRB	KNRB	Naval Station Mayport|NS Mayport (Adm. David L. McDonald Field)	Mayport, Florida, United States
NRC	KNRC	NASA Crows Landing Airport (formerly NALF Crows Landing)	Crows Landing, California, United States
NRS	KNRS	Naval Outlying Field Imperial Beach|NOLF Imperial Beach (Ream Field)	Imperial Beach, California, United States
NSE	KNSE	NAS Whiting Field - North	Milton, Florida, United States
NTD	KNTD	Naval Air Station Point Mugu|NAS Point Mugu (Naval Base Ventura County)	Point Mugu, California, United States
NTJ		Manti-Ephraim Airport (FAA: 41U)	Manti, Utah, United States
NTU	KNTU	Naval Air Station Oceana|NAS Oceana (Apollo Soucek Field)	Virginia Beach, Virginia, United States
NUI	PAQT	Nuiqsut Airport (FAA: AQT)	Nuiqsut, Alaska, United States
NUL	PANU	Nulato Airport	Nulato, Alaska, United States
NUN	KNUN	Naval Outlying Field Saufley|NOLF Saufley	Pensacola, Florida, United States
NUP		Nunapitchuk Airport (FAA: 16A)	Nunapitchuk, Alaska, United States
NUQ	KNUQ	Moffett Federal Airfield	Mountain View, California, United States
NUW	KNUW	Naval Air Station Whidbey Island|NAS Whidbey Island (Ault Field)	Oak Harbor, Washington, United States
NVD	KNVD	Nevada Municipal Airport	Nevada, Missouri, United States
NWH		Parlin Field (FAA: 2B3)	Newport, New Hampshire, United States
NXX	KNXX	Naval Air Station Joint Reserve Base Willow Grove|NAS JRB Willow Grove	Willow Grove, Pennsylvania, United States
NYC		List of airports in the New York City area|All Airports	New York City, New York, United States
NYG	KNYG	Marine Corps Airfield Quantico|MCAF Quantico (Turner Field)	Quantico, Virginia, United States
NZC	KVQQ	Cecil Field (FAA: VQQ)	Jacksonville, Florida, United States
NZJ	KNZJ	Marine Corps Air Station El Toro|MCAS El Toro	Santa Ana, California, United States
NZY	KNZY	Naval Air Station North Island|NAS North Island (Halsey Field)	San Diego, California, United States
OAJ	KOAJ	Albert J. Ellis Airport	Jacksonville, North Carolina, United States
OAK	KOAK	Oakland International Airport	Oakland, California|Oakland (near San Francisco), California, United States
OBE	KOBE	Okeechobee County Airport	Okeechobee, Florida, United States
OBU		Kobuk Airport	Kobuk, Alaska, United States
OCA		Ocean Reef Club Airport (FAA: 07FA)	Key Largo, Florida|Key Largo, Florida, United States
OCE	KOXB	Ocean City Municipal Airport (Maryland)|Ocean City Municipal Airport (FAA: OXB)	Ocean City, Maryland, United States
OCF	KOCF	Ocala International Airport (Jim Taylor Field)	Ocala, Florida, United States
OCH	KOCH	A. L. Mangham Jr. Regional Airport	Nacogdoches, Texas, United States
OCN	KOKB	Oceanside Municipal Airport (FAA: OKB)	Oceanside, California, United States
OCW	KOCW	Warren Field	Washington, North Carolina, United States
ODW	KOKH	A.J. Eisenberg Airport (FAA: OKH)	Oak Harbor, Washington, United States
OEA	KOEA	O'Neal Airport	Vincennes, Indiana, United States
OEL	KOEL	Oakley Municipal Airport	Oakley, Kansas, United States
OEO	KOEO	L. O. Simenstad Municipal Airport	Osceola, Wisconsin, United States
OFF	KOFF	Offutt Air Force Base	Omaha, Nebraska, United States
OFK	KOFK	Karl Stefan Memorial Airport	Norfolk, Nebraska, United States
OGA	KOGA	Searle Field	Ogallala, Nebraska, United States
OGB	KOGB	Orangeburg Municipal Airport	Orangeburg, South Carolina, United States
OGD	KOGD	Ogden-Hinckley Airport	Ogden, Utah, United States
OGG	PHOG	Kahului Airport	Kahului, Hawaii, United States
OGS	KOGS	Ogdensburg International Airport	Ogdensburg, New York, United States
OIC	KOIC	Norwich Lt. Warren Eaton Airport	Norwich, New York, United States
OJC	KOJC	Johnson County Executive Airport	Olathe, Kansas, United States
OKC	KOKC	Will Rogers World Airport	Oklahoma City, Oklahoma, United States
OKK	KOKK	Kokomo Municipal Airport	Kokomo, Indiana, United States
OKM	KOKM	Okmulgee Regional Airport	Okmulgee, Oklahoma, United States
OKS	KOKS	Garden County Airport	Oshkosh, Nebraska, United States
OLD	KOLD	Old Town Municipal Airport and Seaplane Base (DeWitt Field)	Old Town, Maine, United States
OLE	KOLE	Cattaraugus County-Olean Airport	Olean, New York, United States
OLF	KOLF	L. M. Clayton Airport	Wolf Point, Montana, United States
