AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
PSP	KPSP	Palm Springs International Airport	Palm Springs, California, United States
PSQ		Philadelphia Seaplane Base (FAA: 9N2)	Essington, Pennsylvania|Essington, Pennsylvania United States
PSR	LIBP	Pescara Airport	Pescara, Italy
PSS	SARP	Libertador General José de San Martín Airport	Posadas, Argentina
PSX	KPSX	Palacios Municipal Airport	Palacios, Texas, United States
PSY	SFAL	Port Stanley Airport	Stanley, Falkland Islands, United Kingdom
PSZ	SLPS	Puerto Suárez International Airport	Puerto Suárez, Bolivia
PTA	PALJ	Port Alsworth Airport (FAA: TPO)	Port Alsworth, Alaska, United States
PTB	KPTB	Dinwiddie County Airport	Petersburg, Virginia, United States
PTC		Port Alice Seaplane Base (FAA: 16K)	Port Alice, Alaska|Port Alice, Alaska, United States
PTD	PAAP	Port Alexander Seaplane Base (FAA: AHP)	Port Alexander, Alaska, United States
PTH	PAPH	Port Heiden Airport	Port Heiden, Alaska, United States
PTI		Piedmont Triad International Airport	Greensboro, North Carolina, United States
PTJ	YPOD	Portland Airport (Australia)|Portland Airport	Portland, Victoria, Australia
PTK	KPTK	Oakland County International Airport	Pontiac, Michigan, United States
PTN	KPTN	Harry P. Williams Memorial Airport	Patterson, Louisiana, United States
PTP	TFFR	Pointe-à-Pitre International Airport|Guadeloupe Pôle Caraïbes Airport	Pointe-à-Pitre, Guadeloupe
PTS	KPTS	Atkinson Municipal Airport	Pittsburg, Kansas, United States
PTT	KPTT	Pratt Industrial Airport	Pratt, Kansas, United States
PTU	PAPM	Platinum Airport	Platinum, Alaska, United States
PTV	KPTV	Porterville Municipal Airport	Porterville, California, United States
PTW	KPTW	Pottstown Limerick Airport	Pottstown, Pennsylvania, United States
PTY	MPTO	Tocumen International Airport	Panama City, Panama
PTZ	SEPA	Rio Amazonas Airport	Shell Mera, Ecuador
PUB	KPUB	Pueblo Memorial Airport	Pueblo, Colorado, United States
PUC	KPUC	Carbon County Airport	Price, Utah, United States
PUD	SAWD	Puerto Deseado Airport	Puerto Deseado, Santa Cruz Province, Argentina
PUF	LFBP	Pau Pyrénées Airport	Pau, France|Pau, France
PUI	VEPU	Purnea Airport	Purnia, India
PUJ	MDPC	Punta Cana International Airport	Punta Cana, Dominican Republic
PUL		Port of Poulsbo Marina Moorage Seaplane Base (FAA: 83Q)	Poulsbo, Washington, United States
PUO		Northstar Heliport (FAA: 90AK)	Prudhoe Bay/Deadhorse, Alaska, United States
PUQ	SCCI	Carlos Ibanez Del Campo International Airport	Punta Arenas, Chile
PUS	RKPP	Gimhae International Airport	Busan, South Korea
PUU	SKAS	Tres de Mayo Airport	Puerto Asís, Colombia
PUW	KPUW	Pullman-Moscow Regional Airport	Pullman, Washington (near Moscow, Idaho), United States
PUY	LDPL	Pula Airport	Pula, Croatia
PUZ	MNPC	Puerto Cabezas Airport	Puerto Cabezas, Nicaragua
PVA	SKPV	El Embrujo Airport	Providencia Island, Colombia
PVC	KPVC	Provincetown Municipal Airport	Provincetown, Massachusetts, United States
PVD	KPVD	T. F. Green Airport|Theodore Francis Green State Airport	Providence, Rhode Island, United States
PVF	KPVF	Placerville Airport	Placerville, California, United States
PVG	ZSPD	Shanghai Pudong International Airport	Shanghai, People's Republic of China
PVH	SBPV	Governador Jorge Teixeira de Oliveira International Airport	Porto Velho, Brazil
PVK	LGPZ	Aktion Airport	Preveza, Greece
PVN		Pleven Airport	Pleven, Bulgaria
PVR	MMPR	Lic. Gustavo Díaz Ordaz International Airport	Puerto Vallarta, Jalisco, Mexico
PVU	KPVU	Provo Municipal Airport	Provo, Utah, United States
PVW	KPVW	Hale County Airport	Plainview, Texas, United States
PWA	KPWA	Wiley Post Airport	Oklahoma City, Oklahoma, United States
PWD	KPWD	Sher-Wood Airport	Plentywood, Montana, United States
PWE	UHMP	Pevek Airport	Pevek, Russia
PWK	KPWK	Palwaukee Municipal Airport	Chicago, Illinois|Chicago/Prospect Heights, Illinois|Prospect Heights/Wheeling, Illinois, United States
PWM	KPWM	Portland International Jetport	Portland, Maine, United States
PWQ	UASP	Pavlodar Airport	Pavlodar, Kazakhstan
PWT	KPWT	Bremerton National Airport	Bremerton, Washington, United States
PXL		Polacca Airport (FAA: P10)	Polacca, Arizona|Polacca, Arizona, United States
PXM	MMPS	Puerto Escondido International Airport	Puerto Escondido (Oaxaca)|Puerto Escondido, Oaxaca, Mexico
PXO	LPPS	Porto Santo Airport	Porto Santo, Madeira, Portugal
PYH	SVPA	Cacique Aramare Airport	Puerto Ayacucho, Venezuela
PYM	KPYM	Plymouth Municipal Airport (Massachusetts)|Plymouth Municipal Airport	Plymouth, Massachusetts, United States
PYY		Pai Airport	Pai, Thailand|Pai, Thailand
PZB	FAPM	Pietermaritzburg Airport	Pietermaritzburg, South Africa
PZH	OPZB	Zhob Airport	Zhob, Pakistan
PZO	SVPR	Manuel Carlos Piar Guayana Airport	Ciudad Guayana, Venezuela
PZY	LZPP	Pieštany Airport	Piešťany, Slovakia
QAJ		Ajman International Airport (under construction)	Ajman, United Arab Emirates
QAM	LFAY	Amiens-Glisy Airport	Amiens, France
QBC	CYBD	Bella Coola Airport	Bella Coola, British Columbia, Canada
QBQ	LFQM	Besançon - La Vèze Aerodrome	Besançon / La Vèze, France
QCY	EGXC	RAF Coningsby	Coningsby, England, United Kingdom
QDF	SNKF	Conselheiro Lafaiete Airport	Conselheiro Lafaiete, Minas Gerais, Brazil
QFD	DAAK	Boufarik Airport	Boufarik, Algeria
QFO	EGSU	Duxford Airport	Duxford, England, United Kingdom
QFR	LIRH	Frosinone Airport	Frosinone, Italy
QGA	SSGY	Guaira Airport	Guaira, Paraná (state)|Paraná, Brazil
QGU	RJNG	Gifu Airport	Gifu, Gifu|Gifu, Japan
QHA	EBZH	Kiewit Airport	Hasselt, Belgium
QHI		Chonburi Sattahip Airport	Sattahip, Chonburi Province, Thailand
QIE	LFMI	Istres-Le Tubé Air Base	Istres, France
QJX	VTUM	Nong Khai Airport	Nong Khai, Thailand
QKN	DTTK	Kairouan Airport	Kairouan, Tunisia
QLA	EGHL	Lasham Airfield	Lasham, England, United Kingdom
QLD	DAAB	Blida Airport	Blida, Algeria
QLS	LSGL	Lausanne-Blécherette Airport	Lausanne, Switzerland
QLT	LIRL	Latina Airport	Latina, Italy|Latina (near Rome), Italy
QMJ	OIAI	Shahid Asyaee Airport	Masjed Soleyman|Masjed Soleiman, Iran
QMM		Cinquale Airport	Marina di Massa, Italy
QMZ	EDFZ	Mainz-Finthen Airport	Mainz, Rhineland-Palatinate, Germany
QND	LYNS	Novi Sad Airport	Novi Sad, Serbia
QNJ	LFLI	Annemasse Airport	Annemasse, France
QNY		New York Skyports Inc. Seaplane Base (FAA: 6N7)	New York City, New York, United States
QOW	DNIM	Sam Mbakwe Airport	Owerri, Nigeria
QPG	WSAP	Paya Lebar Air Base	Paya Lebar, Singapore
QPS	SBYS	Campo Fontenelle (military)	Piraçununga, São Paulo (state)|São Paulo, Brazil
QPZ	LIMS	Piacenza Airport	Piacenza, Italy
QRA	FAGM	Rand/Germiston Airport	Johannesburg, South Africa
QRO	MMQT	Querétaro International Airport	Querétaro, Mexico
QRV	LFQD	Arras - Roclincourt Airport	Arras / Roclincourt, France
QSC	SDSC	São Carlos Airport	São Carlos, São Paulo (state)|São Paulo, Brazil
QSF	DAAS	Ain Arnat Airport	Setif, Algeria
QSI	HTMS	Moshi Airport	Moshi, Tanzania
QSR	LIRI	Salerno Costa d'Amalfi Airport	Salerno, Italy
QTJ	LFOR	Chartres-Champhol Airport	Chartres, France
QUG	EGHR	Chichester/Goodwood Airport|Goodwood Airfield	Chichester, England, United Kingdom
QUD			Damanhur, Egypt
QUS	DNGU	Gusau Airport	Gusau, Nigeria
QUT	RJTU	Utsunomiya Airport	Nikkō, Tochigi|Nikkō / Utsunomiya, Tochigi|Utsunomiya, Tochigi Prefecture, Japan
QVB	SSUV	União da Vitória Airport	União da Vitória, Paraná (state)|Paraná, Brazil
QWG		Wilgrove Air Park (FAA: 8A6)	Charlotte, North Carolina, United States
QXB	LFMA	Aix Les Milles Airport	Aix-en-Provence / Les Milles, France
QYR	LFQB	Barberey Airport	Troyes, France
QZN	DAAZ	Relizane Airport	Relizane, Algeria
RAB	AYRB	Rabaul Airport	Rabaul, Papua New Guinea
RAC	KRAC	John H. Batten Airport	Racine, Wisconsin, United States
RAF		Ras an-Naqb Airport	Ras an-Naqb, Egypt
RAI	GVNP	Praia International Airport	Praia, Cape Verde
RAJ	VARK	Rajkot Airport	Rajkot, India
RAK	GMMX	Menara International Airport	Marrakech, Morocco
RAL	KRAL	Riverside Municipal Airport	Riverside, California, United States
RAO	SBRP	Leite Lopes Airport	Ribeirão Preto, São Paulo (state)|São Paulo, Brazil
RAP	KRAP	Rapid City Regional Airport	Rapid City, South Dakota, United States
RAR	NCRG	Rarotonga International Airport	Avarua, Cook Islands
RBA	GMME	Sale Airport	Rabat, Morocco
RBB	SWBR	Borba Airport	Borba, Amazonas, Brazil
RBC	YROI	Robinvale Airport	Robinvale, Victoria (Australia)|Victoria, Australia
RBD	KRBD	Dallas Executive Airport	Dallas, Texas, United States
RBE	VDRK	Ratanakiri Airport	Ratanakiri, Cambodia
RBG	KRBG	Roseburg Regional Airport	Roseburg, Oregon, United States
RBL	KRBL	Red Bluff Municipal Airport	Red Bluff, California, United States
RBM	EDMS	Wallmuhle Airport	Straubing, Bavaria, Germany
RBQ	SLRQ	Rurrenabaque Airport	Rurrenabaque, Bolivia
RBR	SBRB	Rio Branco International Airport (Presidente Medici Airport)	Rio Branco, Acre, Brazil
RBW	KRBW	Lowcountry Regional Airport	Walterboro, South Carolina, United States
RBY	PARY	Ruby Airport	Ruby, Alaska, United States
RCA	KRCA	Ellsworth Air Force Base	Rapid City, South Dakota, United States
RCE		Roche Harbor Seaplane Base	San Juan Island, Washington (U.S. State)|Washington, United States
RCH	SKRH	Almirante Padilla Airport	Riohacha, Brazil
RCK	KRCK	H. H. Coffield Regional Airport	Rockdale, Texas, United States
RCM	YRMD	Richmond Airport	Richmond, Queensland, Australia
RCR	KRCR	Fulton County Airport (Indiana)|Fulton County Airport	Rochester, Indiana, United States
RCS	EGTO	Rochester Airport (England)|Rochester Airport	Rochester, Kent, England, United Kingdom
RCT	KRCT	Nartron Field	Reed City, Michigan, United States
RDD	KRDD	Redding Municipal Airport	Redding, California, United States
RDG	KRDG	Reading Regional Airport (Carl A. Spaatz Field)	Reading, Pennsylvania, United States
RDM	KRDM	Roberts Field	Redmond, Oregon, United States
RDR	KRDR	Grand Forks Air Force Base	Grand Forks, North Dakota, United States
RDT	GOSR	Richard Toll Airport	Richard Toll, Senegal
RDU	KRDU	Raleigh-Durham International Airport	Raleigh, North Carolina|Raleigh / Durham, North Carolina, United States
RDV		Red Devil Airport	Red Devil, Alaska, United States
RDZ	LFCR	Rodez-Marcillac Airport	:fr:Salles-la-Source|Salles-La-Source, Aveyron, France
REC	SBRF	Guararapes International Airport	Recife, Brazil
RED	KRVL	Mifflin County Airport (FAA: RVL)	Reedsville, Pennsylvania, United States
REG	LICR	Reggio Calabria Airport	Reggio Calabria, Italy
REK	BIRK	Reykjavík Airport	Reykjavík, Iceland
REL	SAVT	Almirante Marco Andrés Zar Airport	Trelew, Chubut Province|Chubut, Argentina
REN	UWOO	Orenburg Tsentralny Airport	Orenburg, Russia
REO	KREO	Rome State Airport	Rome, Oregon, United States
REP	VDSR	Angkor International Airport	Siem Reap, Cambodia
RER	MGRT	Retalhuleu Airport	Retalhuleu, Guatemala
RES	SARE	Resistencia International Airport	Resistencia, Chaco, Argentina
RET	ENRS	Røst Airport	Røst, Nordland, Norway
REU	LERS	Reus Airport	Reus (near Tarragona), Spain
REX	MMRX	General Lucio Blanco International Airport	Reynosa, Mexico
RFD	KRFD	Chicago Rockford International Airport (Greater Rockford Airport)	Rockford, Illinois, United States
RFG	KRFG	Rooke Field	Refugio, Texas, United States
RGA	SAWE	Hermes Quijada International Airport	Río Grande, Tierra del Fuego, Argentina
RGL	SAWG	Piloto Civil Norberto Fernández International Airport	Río Gallegos, Santa Cruz, Argentina
RGN	VYYY	Yangon International Airport	Yangon, Myanmar
RGS	LEBG	Burgos Airport	Burgos, Spain
RHE	LFSR	Reims Champagne Airport	Reims, France
RHI	KRHI	Rhinelander-Oneida County Airport	Rhinelander, Wisconsin, United States
RHO	LGRP	Rhodes International Airport, "Diagoras"	Rhodes, Greece
RHP	VNRC	Ramechhap Airport	Ramechhap, Nepal
RHV	KRHV	Reid-Hillview Airport of Santa Clara County	San Jose, California, United States
RIA	SBSM	Santa Maria Airport (Rio Grande do Sul)|Santa Maria Airport	Santa Maria, Rio Grande do Sul, Brazil
RIB	SLRI	Riberalta Airport	Riberalta, Bolivia
RIC	KRIC	Richmond International Airport	Richmond, Virginia, United States
RID	KRID	Richmond Municipal Airport	Richmond, Indiana, United States
RIE	KRPD	Rice Lake Regional Airport (Carl's Field) (FAA: RPD)	Rice Lake, Wisconsin, United States
RIF	KRIF	Richfield Municipal Airport	Richfield, Utah, United States
RIG	SBRG	Rio Grande Airport	Rio Grande, Brazil
RIK	MRCR	Carrillo Airport	Carrillo, Costa Rica
RIL	KRIL	Garfield County Regional Airport	Rifle, Colorado, United States
RIO		All airports	Rio de Janeiro, Brazil
RIR	KRIR	Flabob Airport	Riverside, California|Riverside/Rubidoux, California, United States
RIV	KRIV	March ARB	Riverside, California, United States
RIW	KRIW	Riverton Regional Airport	Riverton, Wyoming, United States
RIX	EVRA	Riga International Airport	Riga, Latvia
RJH	VGRJ	Shah Makhdum Airport	Rajshahi, Bangladesh
RJK	LDRI	Rijeka Airport	Rijeka, Croatia
RKC		Montague Airport (California)|Montague Airport (Yreka Rohrer Field) (FAA: 1O5)	Montague, California, United States
RKD	KRKD	Knox County Regional Airport	Rockland, Maine, United States
RKE	EKRK	Roskilde Airport	Roskilde (near Copenhagen), Denmark
RKP	KRKP	Aransas County Airport	Rockport, Texas, United States
RKR	KRKR	Robert S. Kerr Airport	Poteau, Oklahoma, United States
RKS	KRKS	Rock Springs-Sweetwater County Airport	Rock Springs, Wyoming, United States
RKT	OMRK	Ras Al Khaimah International Airport	Ras Al Khaimah, United Arab Emirates
RKV	BIRK	Reykjavík Airport	Reykjavík, Iceland
RKW	KRKW	Rockwood Municipal Airport	Rockwood, Tennessee, United States
RLA		Rolla Downtown Airport (FAA: K07)	Rolla, Missouri, United States
RLD	KRLD	Richland Airport (Washington)|Richland Airport	Richland, Washington, United States
RLG	ETNL	Rostock Laage Airport	Rostock, Germany
RLT	DRZL	Arlit Airport	Arlit, Niger
RMD	VORG	Ramagundam airport	Ramagundam, Andhra Pradesh, India
RME	KRME	Griffiss Airpark	Rome, New York, United States
RMF	HEMA	Marsa Alam	Marsa Alam, Egypt
RMG	KRMG	Richard B. Russell Airport	Rome, Georgia, United States
RMI	LIPR	Federico Fellini International Airport	Rimini, Italy
RMK	YREN	Renmark Airport	Renmark, South Australia, Australia
RML	VCCC	Ratmalana Airport	Ratmalana, Sri Lanka
RMN		Rumginae Airport	Rumginae, Papua New Guinea
RMP		Rampart Airport	Rampart, Alaska, United States
RMQ	RCMQ	Taichung Ching Chuan Kang Airport	Taichung, Taiwan, Taiwan
RMS	ETAR	Ramstein Air Base	Ramstein-Miesenbach|Ramstein, Germany
RNA	AGAR	Ulawa Airport	Arona, Ulawa Island, Solomon Islands
RNB	ESDF	Ronneby Airport	Ronneby, Sweden
RNC	KRNC	Warren County Memorial Airport	McMinnville, Tennessee, United States
RND	KRND	Randolph Air Force Base	Universal City, Texas, United States
RNH	KRNH	New Richmond Regional Airport	New Richmond, Wisconsin, United States
RNI	MNCI	Corn Island Airport	Corn Island, Nicaragua
RNN	EKRN	Bornholm Airport	Rønne, Denmark
RNO	KRNO	Reno-Tahoe International Airport	Reno, Nevada, United States
RNP		Rongelap Airport	Rongelap Atoll, Marshall Islands
RNS	LFRN	St. Jacques Airport	Rennes, France
RNT	KRNT	Renton Municipal Airport	Renton, Washington, United States
RNZ	KRZL	Jasper County Airport (Indiana)|Jasper County Airport (FAA: RZL)	Rensselaer, Indiana, United States
ROA	KROA	Roanoke Regional Airport (Woodrum Field)	Roanoke, Virginia, United States
ROB	GLRB	Roberts International Airport	Monrovia, Liberia
ROC	KROC	Greater Rochester International Airport	Rochester, Monroe County, New York|Rochester, New York, United States
ROG	KROG	Rogers Municipal Airport (Carter Field)	Rogers, Arkansas, United States
ROK	YBRK	Rockhampton Airport	Rockhampton, Queensland, Australia
ROM		All Airports	Rome, Italy
ROP	PGRO	Rota International Airport (FAA: GRO)	Rota Island, Northern Mariana Islands
ROR	PTRO	Babelthuap Airport	Koror, Palau
ROS	SAAR	Rosario - Islas Malvinas International Airport	Rosario, Argentina
ROT	NZRO	Rotorua Airport	Rotorua, New Zealand
ROU	LBRS	Rousse Airport	Rousse, Bulgaria
ROV	URRR	Rostov-on-Don Airport	Rostov-on-Don, Russia
ROW	KROW	Roswell International Air Center	Roswell, New Mexico, United States
ROX	KROX	Roseau Municipal Airport (Rudy Billberg Field)	Roseau, Minnesota, United States
RPB	YRRB	Roper Bar Airport	Roper Bar, Northern Territory, Australia
RPN	LLIB	Ben Ya'aqov Airport|Rosh Pina Airport	Rosh Pina, Israel
RPR	VARP	Raipur Airport	Raipur, India
RPX	KRPX	Roundup Airport	Roundup, Montana, United States
RRG	FIMR	Sir Gaëtan Duval Airport	Rodrigues Island, Mauritius
RRK	VERK	Rourkela Airport	Rourkela, India
RRL	KRRL	Merrill Municipal Airport	Merrill, Wisconsin, United States
RRR	NTKO	Raroia Airport	Raroia, French Polynesia
RRS	ENRO	Røros Airport	Røros, Norway
RRT	KRRT	Warroad International Airport (Swede Carlson Field)	Warroad, Minnesota, United States
RSA	SAZR	Santa Rosa Airport (Argentina)|Santa Rosa Airport	Santa Rosa, Argentina
RSH	PARS	Russian Mission Airport	Russian Mission, Alaska, United States
RSJ		Rosario Seaplane Base	Orcas Island, Washington (U.S. State)|Washington, United States
RSL	KRSL	Russell Municipal Airport	Russell, Kansas, United States
RSN	KRSN	Ruston Regional Airport	Ruston, Louisiana, United States
RST	KRST	Rochester International Airport	Rochester, Minnesota, United States
RSW	KRSW	Southwest Florida International Airport	Fort Myers, Florida, United States
RTB	MHRO	Juan Manuel Gálvez International Airport	Roatán, Honduras
RTC	VARG	Ratnagiri Airport	Ratnagiri, India
RTM	EHRD	Rotterdam The Hague Airport	Rotterdam, Netherlands
RTN	KRTN	Raton Municipal Airport (Crews Field)	Raton, New Mexico, United States
RTS	YRTI	Rottnest Island Airport	Rottnest Island, Western Australia, Australia
RTW	UWSS	Saratov Tsentralny Airport	Saratov, Russia
RUA	HUAR	Arua Airport	Arua, Uganda
RUG	ZSRG	Rugao Air Base	Rugao, Jiangsu, People's Republic of China|China
RUH	OERK	King Khalid International Airport	Riyadh, Saudi Arabia
RUK	VNRK	Rukumkot Airport	Rukumkot, Nepal
RUM	VNRT	Rumjatar Airport	Rumjatar, Nepal
RUN	FMEE	Roland Garros Airport	St Denis, Réunion, France
RUP	VERU	Rupsi Airport	Rupsi, Meghalaya, India
RUR	NTAR	Rurutu Airport	Rurutu, French Polynesia
RUT	KRUT	Rutland State Airport	Rutland (city), Vermont|Rutland, Vermont, United States
RVE	SKSA	Los Colonizadores Airport	Saravena, Colombia
RVK	ENRM	Rørvik Airport, Ryum	Rørvik, Norway
RVN	EFRO	Rovaniemi Airport	Rovaniemi, Finland
RVS	KRVS	Richard Lloyd Jones Jr. Airport	Tulsa, Oklahoma, United States
RWF	KRWF	Redwood Falls Municipal Airport	Redwood Falls, Minnesota, United States
RWI	KRWI	Rocky Mount-Wilson Regional Airport	Rocky Mount, North Carolina, United States
RWL	KRWL	Rawlins Municipal Airport (Harvey Field)	Rawlins, Wyoming, United States
RWN	UKLR	Rovno Airport	Rovno, Ukraine
RXS	RPVR	Roxas Airport	Roxas City, Capiz, Philippines
RYG	ENRY	Moss Airport, Rygge / Rygge Air Station	Rygge (near Moss, Norway|Moss), Norway
RYN	LFCY	Medis Airport	Royan, France
RZE	EPRZ	Rzeszów-Jasionka Airport	Rzeszów, Poland
RZN	UUWR	Ryazan Airport (Turlatovo Airport)	Ryazan, Russia
RZP	RPSD	Taytay Airport|Cesar Lim Rodriguez (Taytay-Sandoval) Airport	Taytay, Palawan|Taytay, Palawan, Philippines
RZZ	KRZZ	Halifax County Airport	Roanoke Rapids, North Carolina, United States
SAA	KSAA	Shively Field	Saratoga, Wyoming, United States
SAB	TNCS	Juancho E. Yrausquin Airport	Saba, Netherlands Antilles
SAC	KSAC	Sacramento Executive Airport	Sacramento, California, United States
SAD	KSAD	Safford Regional Airport	Safford, Arizona, United States
SAE		Sangir Airport	Sangir, Indonesia
SAF	KSAF	Santa Fe Municipal Airport	Santa Fe, New Mexico, United States
SAG		Sagwon Airport	Sagwon, Alaska, United States
SAH	OYSN	El Rahaba Airport (Sanaa International)	Sana'a, Yemen
SAI		San Marino Airport	San Marino, San Marino|San Marino, San Marino|Republic of San Marino
SAJ		Sirajganj Airport	Sirajganj, Bangladesh
SAK	BIKR	Sauðárkrókur Airport	Sauðárkrókur, Iceland
SAL	MSLP	Comalapa International Airport (El Salvador International)	San Salvador, El Salvador|San Salvador, El Salvador
SAN	KSAN	San Diego International Airport	San Diego, California, United States
SAO		All Airports	São Paulo (city)|São Paulo, Brazil
SAP	MHLM	La Mesa International Airport	San Pedro Sula, Honduras
SAR	KSAR	Sparta Community Airport (Hunter Field)	Sparta, Illinois, United States
SAS	KSAS	Salton Sea Airport	Salton City, California, United States
SAT	KSAT	San Antonio International Airport	San Antonio, Texas, United States
SAV	KSAV	Savannah/Hilton Head International Airport	Savannah, Georgia (near Hilton Head, South Carolina), United States
SAW	LTFJ	Sabiha Gökçen International Airport	Istanbul, Turkey
SAY	LIQS	Siena Airport	Siena, Italy
SAZ	GLST	Sasstown Airport	Sasstown, Liberia
SBA	KSBA	Santa Barbara Airport|Santa Barbara Municipal Airport	Santa Barbara, California, United States
SBD	KSBD	San Bernardino International Airport	San Bernardino, California, United States
SBF	OADS	Sardeh Band Airport	Sardeh Band, Afghanistan
SBI	GUSB	Sambailo Airport	Koundara, Guinea
SBK	LFRT	Saint-Brieuc - Armor Airport	Saint-Brieuc, France
SBL	SLSA	Santa Ana del Yacuma Airport	Santa Ana del Yacuma, Bolivia
SBM	KSBM	Sheboygan County Memorial Airport	Sheboygan, Wisconsin, United States
SBN	KSBN	South Bend Regional Airport	South Bend, Indiana, United States
SBO		Salina-Gunnison Airport (FAA: 44U)	Salina, Utah, United States
SBP	KSBP	San Luis Obispo County Regional Airport	San Luis Obispo, California, United States
SBS	KSBS	Steamboat Springs Airport (Bob Adams Field)	Steamboat Springs, Colorado, United States
SBU	FASB	Springbok Airport	Springbok, Northern Cape|Springbok, South Africa
SBW		Sibu Airport	Sibu, Malaysia
SBX	KSBX	Shelby Airport	Shelby, Montana, United States
SBY	KSBY	Salisbury-Ocean City Wicomico Regional Airport	Salisbury, Maryland, United States
SBZ	LRSB	Sibiu International Airport	Sibiu, Romania
SCB	KSCB	Scribner State Airport	Scribner, Nebraska, United States
SCC	PASC	Deadhorse Airport	Deadhorse, Alaska, United States
SCD		Sulaco Airport	Sulaco, Honduras|Sulaco, Honduras
SCE	KUNV	University Park Airport (FAA: UNV)	State College, Pennsylvania, United States
SCF	KSDL	Scottsdale Airport (FAA: SDL)	Scottsdale, Arizona, United States
SCH	KSCH	Schenectady County Airport	Schenectady, New York, United States
SCK	KSCK	Stockton Metropolitan Airport	Stockton, California, United States
SCL	SCEL	Arturo Merino Benitez International Airport	Santiago, Chile|Santiago, Chile
SCM		Scammon Bay Airport	Scammon Bay, Alaska, United States
SCN	EDDR	Saarbrücken Airport	Saarbrücken, Germany
SCO	UATE	Shevchenko Airport|Aktau Airport	Aktau, Kazakhstan
SCQ	LEST	Santiago de Compostela Airport	Santiago de Compostela, Spain
SCS	EGPM	Scatsta Airport	Shetland Islands, Scotland, United Kingdom
SCU	MUCU	Antonio Maceo Airport|Antonio Maceo International Airport	Santiago de Cuba|Santiago, Cuba
SCV	LRSV	Suceava Airport	Suceava, Romania
SCX	MM57	Salina Cruz Airport (NAS Salina Cruz)	Salina Cruz, Oaxaca, Mexico
SCY	SEST	San Cristóbal Airport	San Cristóbal Island, Galápagos Islands, Ecuador
SDA	ORBI	Baghdad International Airport (formerly ORBS/Saddam Int'l)	Baghdad, Iraq
SDC	SCEL	Comodoro Arturo Merino Benítez International Airport	Santiago, Chile|Santiago, Chile
SDD	FNUB	Lubango Airport	Lubango, Angola
SDE	SANE	Vicecomodoro Ángel de la Paz Aragonés Airport	Santiago del Estero, Argentina
SDF	KSDF	Louisville International Airport (Standiford Field)	Louisville, Kentucky, United States
SDJ	RJSS	Sendai Airport	Natori, Japan
SDK	WBKS	Sandakan Airport	Sandakan, Malaysia
SDL	ESNN	Sundsvall-Härnösand Airport (Midlanda Airport)	Sundsvall, Sweden
SDM	KSDM	Brown Field Municipal Airport	San Diego, California, United States
SDN	ENSD	Sandane Airport, Anda	Gloppen, Sogn og Fjordane, Norway
SDP	PASD	Sand Point Airport	Sand Point, Alaska, United States
SDQ	MDSD	Las Américas International Airport	Punta Caucedo (near Santo Domingo), Dominican Republic
SDR	LEXJ	Santander Airport|Santander - Parayas Airport	Santander, Cantabria, Spain
SDU	SBRJ	Santos Dumont Airport	Rio de Janeiro, Brazil
SDV	LLSD	Sde Dov Airport	Tel Aviv, Israel
SDX	KSEZ	Sedona Airport (FAA: SEZ)	Sedona, Arizona, United States
SDY	KSDY	Sidney-Richland Municipal Airport	Sidney, Montana, United States
SEA	KSEA	Seattle-Tacoma International Airport	SeaTac, Washington|SeaTac (near Seattle, Washington|Seattle and Tacoma, Washington|Tacoma), Washington (U.S. state)|Washington, United States
SEE	KSEE	Gillespie Field	San Diego, California|San Diego / El Cajon, California, United States
SEF	KSEF	Sebring Regional Airport	Sebring, Florida, United States
SEG	KSEG	Penn Valley Airport	Selinsgrove, Pennsylvania, United States
SEH		Senggeh Airport	Senggeh, Indonesia
SEL		All Airports (code was used in Gimpo International Airport)	Seoul, South Korea
SEM	KSEM	Craig Field (Alabama)|Craig Field	Selma, Alabama, United States
SEN	EGMC	London Southend Airport	Rochford, Essex, United Kingdom
SEP	KSEP	Clark Field Municipal Airport	Stephenville, Texas, United States
SEQ	WIBS	Sungai Pakning Bengkalis Airport	Sungai Pakning Bengkalis, Indonesia
SER	KSER	Freeman Municipal Airport	Seymour, Indiana, United States
SET		San Esteban Airport	San Esteban, Honduras|San Esteban, Honduras
SEX		Sembach Airport	Finsterwalde, Germany
SEY	GQNS	Sélibaby Airport	Sélibaby, Mauritania
SEZ	FSIA	Seychelles International Airport	Mahé, Seychelles|Mahé, Seychelles
SFA	DTTX	Thyna/El Maou Airport	Sfax, Tunisia
SFB	KSFB	Orlando Sanford International Airport	Sanford, Florida (near Orlando, Florida|Orlando), United States
SFD	SVSR	Las Flecheras Airport	San Fernando de Apure, Venezuela
SFE	RPUS	San Fernando Airport (Philippines)|San Fernando Airport	San Fernando City, La Union|San Fernando City, La Union, Philippines
SFF	KSFF	Felts Field	Spokane, Washington, United States
SFJ	BGSF	Kangerlussuaq Airport	Kangerlussuaq, Greenland
SFL	GVSF	São Filipe Airport	Fogo, Cape Verde|Fogo, Cape Verde
SFM	KSFM	Sanford Regional Airport	Sanford, Maine, United States
SFO	KSFO	San Francisco International Airport	San Francisco, California, United States
SFQ	LTCH	Sanliurfa Airport	Sanliurfa, Turkey
SFS	RPLB	Subic Bay International Airport	Morong, Bataan, Philippines
SFZ	KSFZ	North Central State Airport	Pawtucket, Rhode Island, United States
